method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,is_social_interaction,social_bout_number,time_from_social_onset_s,time_from_social_offset_s
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,9,24.359999999999673,2.7576029018872683,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,10,42.4399999999996,1.9400336040469184,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,11,43.280031999999665,2.321222206701931,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,12,48.00003199999992,2.9905364148400237,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,13,57.400031999999555,2.1712919268979416,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,14,80.8000320000001,2.255598559858248,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,15,87.00003199999992,2.630712112197257,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,16,94.60006399999929,2.00222353002224,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,17,111.4800639999994,2.445837608325362,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,18,114.56006399999933,2.4706518407424336,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,19,118.32006399999955,2.243961970969528,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,20,133.20003199999974,2.547412053289088,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,21,133.88003200000003,2.2873685116791025,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,22,137.3600319999996,2.947201939826923,False,,,
rolling_60s,Preinduction__ID590_NE__3CT_FP3_3__3CT_Preinduction_C3-Trial_____5,590,NE,Hab,Preinduction,23,139.2400319999997,2.389049619616383,False,,,
