week,mouse_id,condition,behavior,duration_s,bin_index,bin_label,bout_onset_s
Preinduction,597,Hab,Social_interaction,7.640000000166765,1,2.5-5.0min,259.1206720000009
Preinduction,597,Hab,Social_interaction,1.2800000000279397,1,2.5-5.0min,267.6407040000013
Preinduction,597,Hab,Social_interaction,7.600000000165892,1,2.5-5.0min,270.840704000002
Preinduction,597,Hab,Social_interaction,9.00000000019645,1,2.5-5.0min,281.5207360000022
Preinduction,597,Social,Social_interaction,13.280000000289874,0,0.0-2.5min,24.000095999999758
Preinduction,597,Social,Social_interaction,4.120000000089931,0,0.0-2.5min,46.72016000000076
Preinduction,597,Social,Social_interaction,1.080000000023574,0,0.0-2.5min,56.08022400000118
Preinduction,597,Social,Social_interaction,4.400000000096043,0,0.0-2.5min,88.32032000000254
Preinduction,597,Social,Social_interaction,5.640000000123109,0,0.0-2.5min,93.68035200000304
Preinduction,597,Social,Social_interaction,6.400000000139698,0,0.0-2.5min,100.44038400000136
Preinduction,597,Social,Social_interaction,6.520000000142318,0,0.0-2.5min,109.32038400000238
Preinduction,597,Social,Social_interaction,1.9600000000427826,0,0.0-2.5min,125.64044800000192
Preinduction,597,Social,Social_interaction,9.12000000019907,0,0.0-2.5min,128.3604480000031
Preinduction,597,Social,Social_interaction,0.6400000000139698,0,0.0-2.5min,139.72047999999995
Preinduction,597,Social,Social_interaction,0.5200000000113505,0,0.0-2.5min,141.9205120000006
Preinduction,597,Social,Social_interaction,6.0800000001327135,0,0.0-2.5min,148.8405440000024
Preinduction,597,Social,Social_interaction,2.44000000005326,1,2.5-5.0min,155.92057600000044
Preinduction,597,Social,Social_interaction,2.160000000047148,1,2.5-5.0min,190.28067200000078
Preinduction,597,Social,Social_interaction,6.840000000149303,1,2.5-5.0min,234.40080000000307
Preinduction,597,Social,Social_interaction,14.64000000031956,1,2.5-5.0min,244.28080000000045
Preinduction,597,Social,Social_interaction,1.720000000037544,1,2.5-5.0min,298.16092800000115
Preinduction,597,Novel,Novel_interaction,5.680000000123982,0,0.0-2.5min,1.360000000000582
Preinduction,597,Novel,Novel_interaction,0.5200000000113505,0,0.0-2.5min,28.28009600000223
Preinduction,597,Novel,Novel_interaction,6.880000000150176,0,0.0-2.5min,50.92019200000141
Preinduction,597,Novel,Novel_interaction,2.2800000000497676,0,0.0-2.5min,59.52022399999987
Preinduction,597,Novel,Novel_interaction,1.9600000000427826,0,0.0-2.5min,121.92038400000092
Preinduction,597,Novel,Social_interaction,3.0400000000663567,0,0.0-2.5min,76.28025600000183
Preinduction,597,Novel,Social_interaction,6.8000000001484295,0,0.0-2.5min,103.3603519999997
Preinduction,597,Novel,Social_interaction,2.360000000051514,1,2.5-5.0min,188.24054400000023
Preinduction,597,Novel,Social_interaction,12.480000000272412,1,2.5-5.0min,272.0807999999997
Preinduction,463,Social,Novel_interaction,3.4000000000742148,0,0.0-2.5min,36.95999999999913
Preinduction,463,Social,Novel_interaction,6.200000000135333,0,0.0-2.5min,42.840032000000065
Preinduction,463,Social,Novel_interaction,10.240000000223517,1,2.5-5.0min,216.51996800000052
Preinduction,463,Social,Novel_interaction,4.200000000091677,1,2.5-5.0min,281.7199039999996
Preinduction,463,Social,Novel_interaction,4.200000000091677,1,2.5-5.0min,293.9198720000004
Preinduction,463,Social,Social_interaction,19.160000000418222,0,0.0-2.5min,102.6399679999995
Preinduction,463,Social,Social_interaction,18.080000000394648,1,2.5-5.0min,154.83996800000023
Preinduction,463,Social,Social_interaction,2.3200000000506407,1,2.5-5.0min,173.83996800000023
Preinduction,463,Social,Social_interaction,5.560000000121363,1,2.5-5.0min,184.23996799999986
Preinduction,463,Novel,Novel_interaction,3.08000000006723,0,0.0-2.5min,47.839968000000226
Preinduction,463,Novel,Novel_interaction,4.480000000097789,0,0.0-2.5min,90.71990399999959
Preinduction,463,Novel,Novel_interaction,3.9600000000864384,0,0.0-2.5min,134.19990400000097
Preinduction,463,Novel,Novel_interaction,4.800000000104774,1,2.5-5.0min,226.19987200000105
Preinduction,463,Novel,Social_interaction,0.7600000000165892,0,0.0-2.5min,0.8000000000010914
Preinduction,463,Novel,Social_interaction,0.9600000000209548,0,0.0-2.5min,3.7600000000002183
Preinduction,463,Novel,Social_interaction,6.04000000013184,0,0.0-2.5min,8.280000000000655
Preinduction,463,Novel,Social_interaction,3.160000000068976,0,0.0-2.5min,17.480000000001382
Preinduction,463,Novel,Social_interaction,1.1200000000244472,0,0.0-2.5min,20.80000000000109
Preinduction,463,Novel,Social_interaction,6.560000000143191,0,0.0-2.5min,105.83990400000039
Preinduction,463,Novel,Social_interaction,20.000000000436557,1,2.5-5.0min,159.7998719999996
Preinduction,463,Novel,Social_interaction,2.6800000000584987,1,2.5-5.0min,182.31987200000003
Preinduction,463,Novel,Social_interaction,4.080000000089058,1,2.5-5.0min,286.91980800000056
Preinduction,463,Novel,Social_interaction,2.080000000045402,1,2.5-5.0min,292.559808
Preinduction,463,Novel,Social_interaction,2.360000000051514,1,2.5-5.0min,297.519776000001
Preinduction,459,Social,Novel_interaction,3.760000000082073,0,0.0-2.5min,61.799935999999434
Preinduction,459,Social,Novel_interaction,1.040000000022701,0,0.0-2.5min,68.95993599999929
Preinduction,459,Social,Novel_interaction,1.5600000000340515,0,0.0-2.5min,148.07990400000017
Preinduction,459,Social,Novel_interaction,4.800000000104774,1,2.5-5.0min,254.39980800000012
Preinduction,459,Social,Novel_interaction,3.6400000000794535,1,2.5-5.0min,262.6398079999999
Preinduction,459,Social,Social_interaction,14.76000000032218,0,0.0-2.5min,12.199968000000808
