method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_SD,threshold_z,trial_duration_s,interaction_duration_s,outside_interaction_duration_s,n_interaction_bouts
static_trial_SD,W1__ID590_NE__3CT_FP4_3__3CT_W1_C3-Trial_____6,590,NE,Social,W1,Interaction,117.38,24,0.20446413358323395,12.267848014994037,3.1523968454009528,2.9654210322501307,0.9397871877227012,1.8795743754454024,299.87993600000027,117.38,182.49993600000028,8
static_trial_SD,W2__ID590_NE__3CT_FP4_3__3CT_W2_C3-Trial_____6,590,NE,Social,W2,Interaction,56.80000000000001,18,0.31690140845070414,19.01408450704225,2.718541890279539,2.5616679580548753,0.9099494873200248,1.8198989746400496,299.83999999999924,56.80000000000001,243.03999999999922,6
static_trial_SD,Preinduction__ID533_NE__3CT_FP21_3__3CT_Preinduction_C3-Trial____23,533,NE,Social,Preinduction,Outside_interaction,290.1805119999988,14,0.04824583120178676,2.8947498721072056,2.6727117391004844,2.4206637559907334,0.9473259949399643,1.8946519898799286,299.84051199999885,9.66,290.1805119999988,2
static_trial_SD,W1__ID533_NE__3CT_FP23_3__3CT_W1_C3-Trial____27,533,NE,Social,W1,Outside_interaction,265.0003519999992,15,0.056603698398106445,3.396221903886387,2.5258921402379055,2.593558285439468,1.0227270581417174,2.0454541162834348,299.84035199999926,34.84000000000003,265.0003519999992,8
static_trial_SD,W2__ID533_NE__3CT_FP19_3__3CT_W2_C3-Trial____21,533,NE,Social,W2,Outside_interaction,223.80031999999932,15,0.06702403285214269,4.021441971128561,2.375089341127605,2.0824772928125417,0.887650926352291,1.775301852704582,299.84031999999934,76.04000000000002,223.80031999999932,8
static_trial_SD,Preinduction__ID541_NE__3CT_FP24_3__3CT_Preinduction_C3-Trial____26,541,NE,Social,Preinduction,Outside_interaction,254.14064000000218,31,0.12197970383642591,7.318782230185555,2.644464610037124,2.579833889237923,0.9511507701998765,1.902301540399753,299.84064000000217,45.699999999999996,254.14064000000218,10
static_trial_SD,W1__ID541_NE__3CT_FP26_3__3CT_W1_C3-Trial____31,541,NE,Social,W1,Outside_interaction,249.96006400000084,21,0.08401342063986642,5.040805238391985,2.5599815798098926,2.320175862126162,1.0079858740913026,2.015971748182605,299.88006400000086,49.92,249.96006400000084,8
static_trial_SD,W2__ID541_NE__3CT_FP22_3__3CT_W2_C3-Trial____24,541,NE,Social,W2,Outside_interaction,257.6999680000011,43,0.1668607114456445,10.01164268673867,2.4908069573434655,2.3133432364110504,0.9738307175615976,1.9476614351231951,299.8799680000011,42.18000000000001,257.6999680000011,11
static_trial_SD,Preinduction__ID566_NE__3CT_FP8_3__3CT_Preinduction_C3-Trial____10,566,NE,Social,Preinduction,Outside_interaction,195.24003200000013,9,0.046097103692341095,2.7658262215404656,2.4231394544881932,2.256479544157414,1.0073824625862298,2.0147649251724595,299.84003200000006,104.59999999999994,195.24003200000013,17
static_trial_SD,W1__ID566_NE__3CT_FP7_3__3CT_W1_C3-Trial____10,566,NE,Social,W1,Outside_interaction,188.28006399999998,12,0.06373484130534394,3.824090478320637,2.7173272753506894,2.4312605328084578,0.9720366450238961,1.9440732900477922,299.840064,111.56,188.28006399999998,9
