method,trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_sec,transient_freq_per_min,mean_peak_amp_z,median_peak_amp_z,trial_mean_z,mean_absolute_deviation,threshold_z,n_social_bouts
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,597,NE,Hab,Preinduction,Entire_trial,299.84080000000176,82,0.27347845923569947,16.40870755414197,2.0945885964490927,1.9100712616201365,0.0,0.7733797255917805,1.1600695883876706,6
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP26_3__3CT_Preinduction_C3_check_arena_settings-Trial____28,597,NE,Hab,Preinduction,Social_interaction,31.84000000000004,24,0.7537688442211046,45.226130653266274,2.091649379447424,1.8074816277871175,0.0,0.7733797255917805,1.1600695883876706,6
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP28_3__3CT_Preinduction_C3_check_arena_settings-Trial____30,597,NE,Social,Preinduction,Entire_trial,299.84092800000144,91,0.3034942581287621,18.209655487725726,2.088314023953726,1.8756718176420355,3.0328621507700686e-17,0.7570449899846998,1.1355674849770496,17
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP28_3__3CT_Preinduction_C3_check_arena_settings-Trial____30,597,NE,Social,Preinduction,Social_interaction,87.66000000000004,40,0.4563084645220167,27.378507871321002,2.390124359481617,2.1339155319634555,3.0328621507700686e-17,0.7570449899846998,1.1355674849770496,17
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,597,NE,Novel,Preinduction,Entire_trial,299.88086399999884,103,0.34346973203331976,20.608183921999185,2.079634930517625,1.921351971042568,-7.581144153215259e-18,0.7715441666298728,1.157316249944809,4
whole_trial_mean_MAD,Preinduction__ID597_NE__3CT_FP29_3__3CT_Preinduction_C3_check_arena_settings-Trial____31,597,NE,Novel,Preinduction,Social_interaction,24.659999999999997,13,0.5271695052716951,31.630170316301708,1.980050038667174,1.7880811111967103,-7.581144153215259e-18,0.7715441666298728,1.157316249944809,4
whole_trial_mean_MAD,Preinduction__ID463_WT__3CT_FP4_2__3CT_Preinduction_cohort2_FP-Trial_____6,463,WT,Social,Preinduction,Entire_trial,299.83987200000047,88,0.293489986548553,17.60939919291318,1.9938365989724252,1.6858037063397997,-2.464200497500681e-17,0.7385839212142958,1.1078758818214438,4
whole_trial_mean_MAD,Preinduction__ID463_WT__3CT_FP4_2__3CT_Preinduction_cohort2_FP-Trial_____6,463,WT,Social,Preinduction,Social_interaction,45.116000000000014,29,0.6427874811596771,38.567248869580624,2.5938805399330382,2.2087036328919836,-2.464200497500681e-17,0.7385839212142958,1.1078758818214438,4
whole_trial_mean_MAD,Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,463,WT,Novel,Preinduction,Entire_trial,299.8397760000007,73,0.243463362245841,14.60780173475046,2.1173116671890244,1.711192927278754,-2.2746466130775518e-17,0.7517488565289121,1.1276232847933683,11
whole_trial_mean_MAD,Preinduction__ID463_WT__3CT_FP5_2__3CT_Preinduction_cohort2_FP-Trial_____7,463,WT,Novel,Preinduction,Social_interaction,49.83799999999995,28,0.5618202977647584,33.709217865885506,2.422340972380647,2.2724139809143313,-2.2746466130775518e-17,0.7517488565289121,1.1276232847933683,11
whole_trial_mean_MAD,Preinduction__ID459_NE__3CT_FP7_2__3CT_Preinduction_cohort2_FP-Trial_____9,459,NE,Social,Preinduction,Entire_trial,299.87974399999985,68,0.22675756319173074,13.605453791503844,1.9515495769892426,1.6520040764557433,-3.0324576612861035e-17,0.7573281926209093,1.135992288931364,7
whole_trial_mean_MAD,Preinduction__ID459_NE__3CT_FP7_2__3CT_Preinduction_cohort2_FP-Trial_____9,459,NE,Social,Preinduction,Social_interaction,33.632,18,0.5352045670789725,32.11227402473835,2.265699227663615,2.090594257468574,-3.0324576612861035e-17,0.7573281926209093,1.135992288931364,7
