trial_key,mouse_id,genotype,trial_type,timepoint,analysis_window,duration_s,n_peaks,transient_freq_per_min,mean_peak_amp_z,trial_SD,threshold_z,n_interaction_bouts
W2__ID463_WT__3CT_FP5_2__3CT_W2_C2-Trial_____7,463,WT,Novel,W2,Interaction,19.79999999999998,2,6.060606060606067,3.0522823935084658,0.8704625129117821,1.7409250258235642,6
W2__ID463_WT__3CT_FP5_2__3CT_W2_C2-Trial_____7,463,WT,Novel,W2,Outside interaction,280.04012799999987,32,6.856160271430818,2.3635254812837703,0.8704625129117821,1.7409250258235642,6
W2__ID459_NE__3CT_FP7_2__3CT_W2_C2-Trial_____9,459,NE,Social,W2,Interaction,37.259999999999934,10,16.10305958132048,2.6449909120417265,0.8577524770038104,1.7155049540076208,13
W2__ID459_NE__3CT_FP7_2__3CT_W2_C2-Trial_____9,459,NE,Social,W2,Outside interaction,262.5804799999999,25,5.712534305672685,2.573555705756162,0.8577524770038104,1.7155049540076208,13
W2__ID459_NE__3CT_FP8_2__3CT_W2_C2-Trial____10,459,NE,Novel,W2,Interaction,14.340000000000025,6,25.104602510460207,3.330406340774333,0.9651860461784174,1.9303720923568348,6
W2__ID459_NE__3CT_FP8_2__3CT_W2_C2-Trial____10,459,NE,Novel,W2,Outside interaction,285.5002560000004,26,5.4640931740530485,3.065114490418384,0.9651860461784174,1.9303720923568348,6
W2__ID398_NE__3CT_FP10_2__3CT_W2_C2-Trial____12,398,NE,Social,W2,Interaction,23.59999999999998,13,33.05084745762714,2.9685597661642307,1.073060498615981,2.146120997231962,8
W2__ID398_NE__3CT_FP10_2__3CT_W2_C2-Trial____12,398,NE,Social,W2,Outside interaction,276.24009599999994,28,6.081666001158645,2.957008267962557,1.073060498615981,2.146120997231962,8
W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,398,NE,Novel,W2,Interaction,113.44000000000003,34,17.98307475317348,2.4892723963642878,0.9440021803227353,1.8880043606454706,14
W2__ID398_NE__3CT_FP11_2__3CT_W2_C2-Trial____13,398,NE,Novel,W2,Outside interaction,186.40038399999915,17,5.4720917313131965,2.471170219235397,0.9440021803227353,1.8880043606454706,14
W2__ID400_NE__3CT_FP13_2__3CT_W2_C2-Trial____16,400,NE,Social,W2,Interaction,26.599999999999966,3,6.766917293233091,1.8679380682767814,0.8308344913539878,1.6616689827079756,4
W2__ID400_NE__3CT_FP13_2__3CT_W2_C2-Trial____16,400,NE,Social,W2,Outside interaction,273.2802880000003,31,6.806198916183804,2.159587802342521,0.8308344913539878,1.6616689827079756,4
