method,trial_key,mouse_id,genotype,trial_type,timepoint,peak_number,peak_time_s,peak_amp_z,analysis_window,interaction_bout_number,trial_mean_z,mean_absolute_deviation,threshold_z
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,12,53.600000000000364,1.5899488095860232,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,13,55.23999999999978,4.174217948695935,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,14,68.64000000000033,1.8856981362941785,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,15,69.28000000000065,3.324781715442753,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,16,70.19999999999982,3.6240480313026846,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,17,70.76000000000022,2.040583872324496,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,18,71.27996799999983,3.2143491093844614,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,19,72.27996799999983,2.422488301863045,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,20,72.99996800000008,2.6606367283035333,Interaction,1.0,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,21,98.63996800000041,1.6995898334862738,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,22,119.63993600000049,2.4056874697833925,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
mean_MAD,Preinduction__ID588_NE__3CT_FP2_3__3CT_Preinduction_C3-Trial_____4,588,NE,Novel,Preinduction,23,121.67993600000045,2.737190383643541,Outside interaction,,1.5164310753850343e-17,0.7432161764368839,1.4864323528737677
